,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Juuse Saros,G,2015-2016,NSH,1,1,0,1,--,0,23,3,3.10,20,.870,0,58:01
1,Juuse Saros,G,2016-2017,NSH,21,19,10,8,--,3,614,47,2.35,567,.923,1,"1,199:55"
2,Juuse Saros,G,2017-2018,NSH,26,23,11,5,0,7,810,61,2.45,749,.925,3,"1,496:40"
3,Juuse Saros,G,2018-2019,NSH,31,27,17,10,0,2,870,74,2.62,796,.915,3,"1,696:13"
4,Juuse Saros,G,2019-2020,NSH,40,34,17,12,0,4,"1,142",98,2.70,"1,044",.914,4,"2,176:50"
5,Juuse Saros,G,2020-2021,NSH,36,35,21,11,0,1,"1,073",78,2.28,995,.927,3,"2,051:48"
6,Juuse Saros,G,2021-2022,NSH,67,67,38,25,0,3,"2,107",173,2.64,"1,934",.918,4,"3,931:42"
7,Juuse Saros,G,2022-2023,NSH,25,25,11,9,0,5,805,69,2.81,736,.914,0,"1,474:37"
