,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Andre Burakovsky,LW,2014-2015,WSH,53,9,13,22,12,10,2,3,0,0,2,0,65,13.85,44.31
1,Andre Burakovsky,LW,2015-2016,WSH,79,17,21,38,4,12,0,4,0,0,1,0,126,13.49,45.95
2,Andre Burakovsky,LW,2016-2017,WSH,64,12,23,35,13,14,2,5,0,0,1,0,111,10.81,28.57
3,Andre Burakovsky,LW,2017-2018,WSH,56,12,13,25,3,27,2,4,0,0,5,1,84,14.29,54.55
4,Andre Burakovsky,LW,2018-2019,WSH,76,12,13,25,2,14,1,1,0,0,4,0,100,12,35
5,Andre Burakovsky,LW,2019-2020,COL,58,20,25,45,11,22,2,11,0,0,6,1,103,19.4,35.71
6,Andre Burakovsky,LW,2020-2021,COL,53,19,25,44,4,10,4,14,0,0,3,1,102,18.6,50
7,Andre Burakovsky,LW,2021-2022,COL,80,22,39,61,12,18,4,11,0,0,5,0,149,14.8,40
8,Andre Burakovsky,LW,2022-2023,SEA,32,10,18,28,-9,12,4,10,0,0,2,1,79,12.7,0
