,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Spencer Martin,G,2016-2017,COL,3,3,0,2,--,1,96,13,4.35,83,.865,0,179:26
1,Spencer Martin,G,2021-2022,VAN,6,6,3,0,0,3,218,11,1.74,207,.950,0,378:21
2,Spencer Martin,G,2022-2023,VAN,18,17,10,5,0,1,542,63,3.66,479,.884,0,"1,031:44"
