,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Connor Ingram,G,2021-2022,NSH,3,3,1,2,0,0,91,11,3.71,80,.879,0,177:45
1,Connor Ingram,G,2022-2023,ARI,9,9,1,7,0,1,288,36,4.39,252,.875,0,492:10
