,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Lukas Dostal,G,2021-2022,ANA,4,3,1,2,0,0,108,10,2.98,98,.907,0,201:27
1,Lukas Dostal,G,2022-2023,ANA,7,6,2,3,0,1,254,23,3.53,231,.909,0,390:36
