,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Adin Hill,G,2017-2018,ARI,4,4,1,3,0,0,129,14,3.49,115,.891,0,240:45
1,Adin Hill,G,2018-2019,ARI,13,11,7,5,0,0,322,32,2.76,290,.901,1,696:21
2,Adin Hill,G,2019-2020,ARI,13,9,2,4,0,3,343,28,2.62,315,.918,0,640:46
3,Adin Hill,G,2020-2021,ARI,19,17,9,9,0,1,530,46,2.74,484,.913,2,"1,005:54"
4,Adin Hill,G,2021-2022,SJS,25,22,10,11,0,1,648,61,2.66,587,.906,2,"1,375:57"
5,Adin Hill,G,2022-2023,VGK,12,12,8,3,0,1,331,32,2.66,299,.903,0,722:00
