,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Ukko-Pekka Luukkonen,G,2020-2021,BUF,4,4,1,3,0,0,149,14,3.88,135,.906,0,216:42
1,Ukko-Pekka Luukkonen,G,2021-2022,BUF,9,9,2,5,0,2,277,23,2.74,254,.917,0,503:04
2,Ukko-Pekka Luukkonen,G,2022-2023,BUF,9,9,5,3,0,1,285,31,3.44,254,.891,0,540:03
