,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Brandon Duhaime,RW,2021-2022,MIN,80,6,11,17,-2,122,0,0,0,0,1,0,91,6.6,28.57
1,Brandon Duhaime,RW,2022-2023,MIN,14,3,1,4,4,20,0,0,1,1,1,0,21,14.3,0
